,community_area,fbi_code,date,description,latitude,longitude,primary_type,year
63,40,01A,2010-04-15T22:54:00.000,FIRST DEGREE MURDER,41.787382824,-87.624388303,HOMICIDE,2010
64,49,01A,2010-04-30T23:00:00.000,FIRST DEGREE MURDER,41.695606449,-87.634042071,HOMICIDE,2010
65,24,01A,2010-05-02T11:43:00.000,FIRST DEGREE MURDER,41.893294393,-87.670249052,HOMICIDE,2010
66,24,01A,2010-05-02T11:48:00.000,FIRST DEGREE MURDER,41.893294393,-87.670249052,HOMICIDE,2010
67,58,01A,2010-05-18T06:37:00.000,FIRST DEGREE MURDER,41.805185857,-87.702166016,HOMICIDE,2010
68,37,01A,2010-05-18T15:35:00.000,FIRST DEGREE MURDER,41.816397665,-87.632817639,HOMICIDE,2010
69,40,01A,2010-05-23T21:20:00.000,FIRST DEGREE MURDER,41.788676964,-87.614924537,HOMICIDE,2010
70,25,01A,2010-05-23T05:15:00.000,FIRST DEGREE MURDER,41.898629212,-87.751238366,HOMICIDE,2010
71,21,01A,2010-06-12T01:10:00.000,FIRST DEGREE MURDER,41.942800364,-87.696443901,HOMICIDE,2010
72,23,01A,2010-06-15T19:15:00.000,FIRST DEGREE MURDER,41.903086348,-87.718680834,HOMICIDE,2010
73,71,01A,2010-06-21T03:45:00.000,FIRST DEGREE MURDER,41.757732493,-87.644528275,HOMICIDE,2010
74,75,01A,2010-07-06T19:39:00.000,FIRST DEGREE MURDER,41.693457916,-87.657015325,HOMICIDE,2010
75,49,01A,2010-07-07T00:55:00.000,FIRST DEGREE MURDER,41.691600734,-87.635110634,HOMICIDE,2010
76,53,01A,2010-07-28T20:18:00.000,FIRST DEGREE MURDER,41.683889499,-87.625298575,HOMICIDE,2010
77,27,01A,2010-07-24T05:58:00.000,FIRST DEGREE MURDER,41.8828099,-87.704626879,HOMICIDE,2010
78,45,01A,2010-08-01T03:21:00.000,FIRST DEGREE MURDER,41.741728501,-87.577014421,HOMICIDE,2010
79,53,01A,2010-08-01T12:32:00.000,FIRST DEGREE MURDER,41.668028717,-87.63315841,HOMICIDE,2010
80,45,01A,2010-08-01T03:21:00.000,FIRST DEGREE MURDER,41.741728501,-87.577014421,HOMICIDE,2010
81,49,01A,2010-08-09T09:14:00.000,FIRST DEGREE MURDER,41.708472756,-87.628350602,HOMICIDE,2010
82,25,01A,2010-08-10T19:28:00.000,FIRST DEGREE MURDER,41.890104095,-87.754198816,HOMICIDE,2010
83,25,01A,2010-08-19T21:30:00.000,FIRST DEGREE MURDER,41.897717521,-87.7489583,HOMICIDE,2010
84,77,01A,2010-08-19T02:57:00.000,FIRST DEGREE MURDER,41.987343957,-87.656105817,HOMICIDE,2010
85,26,01A,2010-08-22T01:55:00.000,FIRST DEGREE MURDER,41.875698749,-87.73530506,HOMICIDE,2010
86,26,01A,2010-08-23T01:28:00.000,FIRST DEGREE MURDER,41.880600004,-87.736364671,HOMICIDE,2010
87,71,01A,2010-10-08T17:30:00.000,FIRST DEGREE MURDER,41.736952142,-87.660662784,HOMICIDE,2010
88,30,01A,2010-10-30T19:21:00.000,FIRST DEGREE MURDER,41.848312173,-87.69177748,HOMICIDE,2010
89,49,01A,2010-10-30T20:26:00.000,FIRST DEGREE MURDER,41.68590089,-87.62082472,HOMICIDE,2010
90,49,01A,2010-11-12T12:35:00.000,FIRST DEGREE MURDER,41.692532002,-87.612154585,HOMICIDE,2010
91,43,01A,2010-11-11T15:37:00.000,FIRST DEGREE MURDER,41.763583691,-87.56536932,HOMICIDE,2010
92,43,01A,2010-11-30T04:27:00.000,FIRST DEGREE MURDER,41.764832296,-87.576944743,HOMICIDE,2010
93,49,01A,2010-12-13T21:12:00.000,FIRST DEGREE MURDER,41.688454665,-87.614462725,HOMICIDE,2010
94,38,01A,2010-09-06T07:00:00.000,FIRST DEGREE MURDER,41.823529117,-87.612707977,HOMICIDE,2010
95,25,11,2010-06-23T00:00:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2010
96,21,08A,2010-08-06T20:45:00.000,SIMPLE,,,ASSAULT,2010
97,5,08A,2010-02-05T10:10:00.000,SIMPLE,41.939718434,-87.688057648,ASSAULT,2010
98,76,06,2010-04-06T09:45:00.000,OVER $500,41.987404624,-87.843494002,THEFT,2010
99,8,08B,2010-04-12T14:40:00.000,SIMPLE,41.897672865,-87.641189972,BATTERY,2010
100,70,06,2010-04-11T16:30:00.000,$500 AND UNDER,41.748425371,-87.741310342,THEFT,2010
101,70,06,2010-05-25T10:00:00.000,FROM BUILDING,41.735129523,-87.705699176,THEFT,2010
102,1,06,2010-06-15T00:10:00.000,RETAIL THEFT,42.019399237,-87.675049485,THEFT,2010
103,38,08B,2010-07-26T18:15:00.000,SIMPLE,41.821798176,-87.627849986,BATTERY,2010
104,25,05,2010-08-24T01:50:00.000,FORCIBLE ENTRY,41.909307068,-87.80576669,BURGLARY,2010
105,38,03,2010-09-04T22:20:00.000,AGGRAVATED,41.816790762,-87.608161256,ROBBERY,2010
106,24,08B,2010-10-22T01:35:00.000,SIMPLE,41.910468216,-87.678447676,BATTERY,2010
107,25,06,2010-11-11T18:00:00.000,$500 AND UNDER,41.904300937,-87.775439194,THEFT,2010
108,1,06,2010-12-07T22:37:00.000,RETAIL THEFT,42.019399237,-87.675049485,THEFT,2010
109,6,06,2010-09-05T02:41:00.000,OVER $500,41.938928369,-87.649234335,THEFT,2010
110,8,08B,2010-08-24T18:10:00.000,SIMPLE,41.901581306,-87.626876922,BATTERY,2010
111,25,06,2010-09-25T13:00:00.000,FROM BUILDING,41.909307068,-87.80576669,THEFT,2010
112,53,26,2010-10-02T18:30:00.000,TO LAND,41.670064293,-87.641649804,CRIMINAL TRESPASS,2010
113,28,14,2010-01-13T22:00:00.000,TO VEHICLE,36.619446395,-91.686565684,CRIMINAL DAMAGE,2010
114,24,14,2010-02-23T02:23:00.000,CRIMINAL DEFACEMENT,36.619446395,-91.686565684,CRIMINAL DAMAGE,2010
115,66,16,2010-09-04T06:10:00.000,SOLICIT ON PUBLIC WAY,41.779090123,-87.695158983,PROSTITUTION,2010
116,10,06,2010-03-05T21:00:00.000,$500 AND UNDER,36.619446395,-91.686565684,THEFT,2010
117,71,15,2010-03-14T14:48:00.000,UNLAWFUL POSS OF HANDGUN,36.619446395,-91.686565684,WEAPONS VIOLATION,2010
118,26,08B,2010-04-10T02:10:00.000,SIMPLE,41.872823407,-87.726013143,BATTERY,2010
119,24,08B,2010-05-20T03:15:00.000,DOMESTIC BATTERY SIMPLE,36.619446395,-91.686565684,BATTERY,2010
120,,06,2010-05-28T19:00:00.000,$500 AND UNDER,36.619446395,-91.686565684,THEFT,2010
121,10,06,2010-06-06T16:00:00.000,$500 AND UNDER,36.619446395,-91.686565684,THEFT,2010
122,24,14,2010-07-10T09:00:00.000,TO VEHICLE,36.619446395,-91.686565684,CRIMINAL DAMAGE,2010
123,31,06,2010-07-14T18:55:00.000,RETAIL THEFT,41.852198325,-87.674377204,THEFT,2010
124,35,06,2010-07-08T11:00:00.000,$500 AND UNDER,41.835686337,-87.620644613,THEFT,2010
125,30,07,2010-07-13T18:00:00.000,AUTOMOBILE,41.850970611,-87.696573856,MOTOR VEHICLE THEFT,2010
126,25,15,2010-07-16T00:44:00.000,UNLAWFUL POSS OF HANDGUN,41.878464822,-87.755651544,WEAPONS VIOLATION,2010
127,43,05,2010-07-15T20:30:00.000,FORCIBLE ENTRY,41.770640462,-87.582573217,BURGLARY,2010
128,71,08A,2010-07-14T13:00:00.000,SIMPLE,41.745848924,-87.659679467,ASSAULT,2010
129,33,05,2010-07-14T16:00:00.000,UNLAWFUL ENTRY,41.861335178,-87.625690175,BURGLARY,2010
130,71,14,2010-07-15T22:45:00.000,TO PROPERTY,41.742414324,-87.645076758,CRIMINAL DAMAGE,2010
131,38,11,2010-06-22T15:00:00.000,ILLEGAL USE CASH CARD,41.802059097,-87.619047858,DECEPTIVE PRACTICE,2010
132,46,05,2010-07-15T22:00:00.000,FORCIBLE ENTRY,41.740248503,-87.55876624,BURGLARY,2010
133,31,07,2010-07-16T03:30:00.000,AUTOMOBILE,41.850029652,-87.671866907,MOTOR VEHICLE THEFT,2010
134,66,08B,2010-07-15T22:30:00.000,SIMPLE,41.780332016,-87.683670856,BATTERY,2010
135,44,06,2010-07-16T03:30:00.000,PURSE-SNATCHING,41.745060167,-87.605062776,THEFT,2010
136,6,05,2010-07-16T04:00:00.000,UNLAWFUL ENTRY,41.945300537,-87.660395874,BURGLARY,2010
137,33,18,2010-06-21T10:20:00.000,POSS: CANNABIS 30GMS OR LESS,41.858594819,-87.627214427,NARCOTICS,2010
138,49,15,2010-07-15T23:30:00.000,UNLAWFUL POSS OF HANDGUN,41.692358646,-87.623096746,WEAPONS VIOLATION,2010
139,20,05,2010-07-15T14:00:00.000,UNLAWFUL ENTRY,41.934123526,-87.736880166,BURGLARY,2010
140,19,06,2010-07-14T09:08:00.000,RETAIL THEFT,41.926484632,-87.785553657,THEFT,2010
141,32,08A,2010-07-15T16:30:00.000,SIMPLE,41.885384381,-87.629486511,ASSAULT,2010
142,46,14,2010-07-16T01:00:00.000,TO PROPERTY,41.747501579,-87.569819183,CRIMINAL DAMAGE,2010
143,53,05,2010-07-14T08:00:00.000,FORCIBLE ENTRY,41.683943397,-87.61981394,BURGLARY,2010
144,28,14,2010-07-14T16:15:00.000,TO PROPERTY,41.888062675,-87.654544262,CRIMINAL DAMAGE,2010
145,66,06,2010-07-15T12:35:00.000,FROM BUILDING,41.76740997,-87.690652359,THEFT,2010
146,24,03,2010-07-11T05:03:00.000,ARMED:KNIFE/CUTTING INSTRUMENT,41.911084257,-87.667702668,ROBBERY,2010
147,23,07,2010-07-16T07:10:00.000,AUTOMOBILE,41.889920648,-87.718898881,MOTOR VEHICLE THEFT,2010
148,73,05,2010-07-15T18:00:00.000,FORCIBLE ENTRY,41.715701836,-87.644274002,BURGLARY,2010
149,43,14,2010-07-16T01:00:00.000,TO VEHICLE,41.76363555,-87.583607896,CRIMINAL DAMAGE,2010
150,28,14,2010-07-15T21:33:00.000,TO VEHICLE,41.883164818,-87.644508395,CRIMINAL DAMAGE,2010
151,33,06,2010-07-14T18:00:00.000,OVER $500,41.856055251,-87.615521784,THEFT,2010
152,32,06,2010-07-15T13:45:00.000,FROM BUILDING,41.881074162,-87.632339332,THEFT,2010
153,67,08B,2010-07-16T05:30:00.000,DOMESTIC BATTERY SIMPLE,41.793205771,-87.658490731,BATTERY,2010
154,28,07,2010-07-13T12:00:00.000,AUTOMOBILE,41.876115823,-87.676525621,MOTOR VEHICLE THEFT,2010
155,32,26,2010-06-20T19:00:00.000,BOMB THREAT,41.879450552,-87.628464704,PUBLIC PEACE VIOLATION,2010
156,6,06,2010-07-16T00:30:00.000,OVER $500,41.9453367,-87.657675379,THEFT,2010
157,67,18,2010-07-06T13:00:00.000,POSS: HALLUCINOGENS,41.793206867,-87.657276902,NARCOTICS,2010
158,29,18,2010-06-30T22:50:00.000,POSS: HEROIN(WHITE),41.869652735,-87.715524317,NARCOTICS,2010
159,25,16,2010-07-07T10:25:00.000,SOLICIT ON PUBLIC WAY,41.880171918,-87.740606259,PROSTITUTION,2010
160,25,18,2010-07-16T11:00:00.000,POSS: CANNABIS 30GMS OR LESS,41.881377085,-87.756319353,NARCOTICS,2010
161,29,18,2010-06-11T18:45:00.000,POSS: CANNABIS 30GMS OR LESS,41.86731563,-87.699591081,NARCOTICS,2010
162,8,08A,2010-07-15T20:00:00.000,SIMPLE,41.907153315,-87.639680572,ASSAULT,2010
163,35,06,2010-07-14T14:00:00.000,FROM BUILDING,41.845382483,-87.617663323,THEFT,2010
164,27,18,2010-06-11T17:48:00.000,POSS: HEROIN(WHITE),41.870974418,-87.704210493,NARCOTICS,2010
165,41,11,2010-07-15T12:00:00.000,FRAUD OR CONFIDENCE GAME,41.802505287,-87.585663616,DECEPTIVE PRACTICE,2010
166,67,06,2010-07-15T12:00:00.000,$500 AND UNDER,41.778560047,-87.677540369,THEFT,2010
167,77,14,2010-07-15T15:00:00.000,TO VEHICLE,41.989694347,-87.656801867,CRIMINAL DAMAGE,2010
168,71,05,2010-07-13T08:00:00.000,FORCIBLE ENTRY,41.747504764,-87.674049077,BURGLARY,2010
169,19,14,2010-07-16T12:00:00.000,TO VEHICLE,41.938854464,-87.744837569,CRIMINAL DAMAGE,2010
170,25,18,2010-07-01T11:23:00.000,MANU/DELIVER:CRACK,41.881355132,-87.756319551,NARCOTICS,2010
171,25,18,2010-07-01T12:01:00.000,MANU/DELIVER:CRACK,41.881355132,-87.756319551,NARCOTICS,2010
172,27,06,2010-07-16T11:00:00.000,OVER $500,41.886547001,-87.695566999,THEFT,2010
173,64,06,2010-07-15T22:30:00.000,OVER $500,41.782344106,-87.791171026,THEFT,2010
174,28,08A,2010-07-15T12:30:00.000,SIMPLE,41.882179098,-87.680110034,ASSAULT,2010
175,61,08B,2010-07-08T00:30:00.000,DOMESTIC BATTERY SIMPLE,41.795229612,-87.66340194,BATTERY,2010
176,40,26,2010-07-16T13:55:00.000,OTHER CRIME INVOLVING PROPERTY,41.802062624,-87.618732403,OTHER OFFENSE,2010
177,32,03,2010-07-08T13:40:00.000,STRONGARM - NO WEAPON,41.883218909,-87.628548144,ROBBERY,2010
178,37,15,2010-07-16T13:05:00.000,UNLAWFUL POSS OF HANDGUN,41.808430707,-87.634566043,WEAPONS VIOLATION,2010
179,15,06,2010-07-13T12:00:00.000,$500 AND UNDER,41.95529191,-87.762141971,THEFT,2010
180,68,08B,2010-07-15T11:30:00.000,SIMPLE,41.779295906,-87.644774188,BATTERY,2010
181,26,03,2010-07-10T20:00:00.000,ARMED: OTHER DANGEROUS WEAPON,41.883060739,-87.725736265,ROBBERY,2010
182,32,06,2010-07-16T14:40:00.000,$500 AND UNDER,41.878144785,-87.631233035,THEFT,2010
183,75,08B,2010-07-16T15:25:00.000,SIMPLE,41.685068742,-87.643209781,BATTERY,2010
184,13,08A,2010-07-16T15:50:00.000,SIMPLE,41.975753134,-87.707979566,ASSAULT,2010
185,28,18,2010-07-16T15:41:00.000,POSS: HEROIN(WHITE),41.866129577,-87.657617902,NARCOTICS,2010
186,22,26,2010-06-21T13:00:00.000,TELEPHONE THREAT,41.925249888,-87.693763257,OTHER OFFENSE,2010
187,60,04B,2010-07-13T22:15:00.000,AGGRAVATED: OTHER DANG WEAPON,41.838044411,-87.646442003,BATTERY,2010
188,42,26,2010-07-16T16:15:00.000,TO LAND,41.785167199,-87.609705726,CRIMINAL TRESPASS,2010
189,67,06,2010-07-11T17:20:00.000,OVER $500,41.784812531,-87.673399344,THEFT,2010
190,23,06,2010-07-14T21:00:00.000,$500 AND UNDER,41.894121219,-87.712614696,THEFT,2010
191,8,18,2010-07-16T16:55:00.000,POSS: CRACK,41.909798633,-87.652036281,NARCOTICS,2010
192,39,06,2010-07-12T21:00:00.000,$500 AND UNDER,41.803474876,-87.583690122,THEFT,2010
193,24,06,2010-07-14T23:30:00.000,FROM BUILDING,41.889440391,-87.644881694,THEFT,2010
194,28,14,2010-07-16T09:30:00.000,TO VEHICLE,41.887926731,-87.661292154,CRIMINAL DAMAGE,2010
195,70,14,2010-07-16T11:11:00.000,TO VEHICLE,41.735834437,-87.717805047,CRIMINAL DAMAGE,2010
196,49,14,2010-07-16T00:47:00.000,TO VEHICLE,41.702440394,-87.626955376,CRIMINAL DAMAGE,2010
197,46,26,2010-07-16T01:45:00.000,OTHER VEHICLE OFFENSE,41.751769861,-87.563373602,OTHER OFFENSE,2010
198,75,26,2010-07-16T15:30:00.000,HARASSMENT BY TELEPHONE,41.684717959,-87.667009752,OTHER OFFENSE,2010
199,22,11,2010-07-11T11:09:00.000,CREDIT CARD FRAUD,41.92480153,-87.698022986,DECEPTIVE PRACTICE,2010
200,8,06,2010-07-16T11:20:00.000,OVER $500,41.893381159,-87.621483733,THEFT,2010
201,25,26,2010-07-16T18:00:00.000,TELEPHONE THREAT,41.904054132,-87.756589092,OTHER OFFENSE,2010
202,8,11,2010-07-12T12:00:00.000,ILLEGAL USE CASH CARD,41.907298191,-87.625645676,DECEPTIVE PRACTICE,2010
203,16,26,2010-07-15T20:00:00.000,TELEPHONE THREAT,41.968131319,-87.738221428,OTHER OFFENSE,2010
204,25,18,2010-07-16T18:02:00.000,POSS: CANNABIS 30GMS OR LESS,41.879113628,-87.749370183,NARCOTICS,2010
205,58,14,2010-07-16T18:00:00.000,TO PROPERTY,41.814944199,-87.693181759,CRIMINAL DAMAGE,2010
206,33,08A,2010-07-13T17:00:00.000,SIMPLE,41.863567228,-87.624068617,ASSAULT,2010
207,48,04B,2010-07-16T11:00:00.000,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,41.727117241,-87.563294374,BATTERY,2010
208,27,18,2010-07-16T19:28:00.000,POSS: HEROIN(WHITE),41.871887199,-87.704017962,NARCOTICS,2010
209,30,26,2010-07-16T20:25:00.000,VIOLATE ORDER OF PROTECTION,41.849120759,-87.70150309,OTHER OFFENSE,2010
210,41,08A,2010-07-16T17:00:00.000,SIMPLE,41.801401991,-87.605301699,ASSAULT,2010
211,75,26,2010-07-12T13:00:00.000,TELEPHONE THREAT,41.693112325,-87.683688835,OTHER OFFENSE,2010
212,8,26,2010-07-16T18:54:00.000,TO LAND,41.894997208,-87.621877156,CRIMINAL TRESPASS,2010
213,27,15,2010-07-16T19:01:00.000,UNLAWFUL POSS OF HANDGUN,41.871730951,-87.71669758,WEAPONS VIOLATION,2010
214,43,08A,2010-06-21T22:25:00.000,SIMPLE,41.760583068,-87.564793,ASSAULT,2010
215,19,06,2010-07-16T19:15:00.000,OVER $500,41.92366617,-87.78667647,THEFT,2010
216,19,14,2010-07-16T08:00:00.000,TO PROPERTY,41.920610175,-87.744171145,CRIMINAL DAMAGE,2010
217,73,08B,2010-07-16T15:00:00.000,DOMESTIC BATTERY SIMPLE,41.721110998,-87.650729069,BATTERY,2010
218,61,14,2010-07-16T19:20:00.000,TO PROPERTY,41.800839071,-87.667201789,CRIMINAL DAMAGE,2010
219,71,26,2010-07-16T20:48:00.000,VIOLATE ORDER OF PROTECTION,41.732020763,-87.668232033,OTHER OFFENSE,2010
220,71,26,2010-07-01T00:00:00.000,TELEPHONE THREAT,41.735909042,-87.655016663,OTHER OFFENSE,2010
221,8,11,2010-07-16T18:30:00.000,CREDIT CARD FRAUD,41.892753031,-87.624193896,DECEPTIVE PRACTICE,2010
222,71,18,2010-07-16T21:40:00.000,POSS: CANNABIS 30GMS OR LESS,41.748032301,-87.667022394,NARCOTICS,2010
223,49,06,2010-07-16T18:00:00.000,POCKET-PICKING,41.721439376,-87.614131833,THEFT,2010
224,67,14,2010-07-16T17:00:00.000,TO VEHICLE,41.793065114,-87.662118986,CRIMINAL DAMAGE,2010
225,67,18,2010-07-16T21:25:00.000,POSS: CANNABIS 30GMS OR LESS,41.774789818,-87.673780721,NARCOTICS,2010
226,27,19,2010-07-16T21:25:00.000,GAME/DICE,41.885451837,-87.712048605,GAMBLING,2010
227,61,26,2010-07-16T17:00:00.000,HARASSMENT BY ELECTRONIC MEANS,41.807827016,-87.667375155,OTHER OFFENSE,2010
228,77,06,2010-07-15T23:00:00.000,$500 AND UNDER,41.991335662,-87.656850699,THEFT,2010
229,2,08B,2010-07-11T21:00:00.000,SIMPLE,41.999679671,-87.681808677,BATTERY,2010
230,54,06,2010-06-01T00:01:00.000,FINANCIAL ID THEFT: OVER $300,41.656512687,-87.60955589,THEFT,2010
231,27,14,2010-06-04T01:04:00.000,TO VEHICLE,41.884231489,-87.696669693,CRIMINAL DAMAGE,2010
232,25,04B,2010-07-16T20:01:00.000,AGGRAVATED: HANDGUN,41.911693567,-87.763078252,BATTERY,2010
