,community_area,fbi_code,date,description,latitude,longitude,primary_type,year
1340,2.0,07,2002-11-20T23:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
939,2.0,11,2002-08-16T15:05:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2002
1162,2.0,07,2002-10-19T00:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
940,2.0,07,2002-08-21T08:15:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1595,2.0,06,2002-08-01T15:00:00.000,FINANCIAL ID THEFT: OVER $300,,,THEFT,2002
1212,2.0,06,2002-08-13T12:30:00.000,$500 AND UNDER,,,THEFT,2002
943,2.0,03,2002-08-22T19:50:00.000,ARMED: HANDGUN,,,ROBBERY,2002
1346,2.0,06,2002-11-24T21:15:00.000,PURSE-SNATCHING,,,THEFT,2002
706,2.0,06,2002-06-27T13:00:00.000,$500 AND UNDER,,,THEFT,2002
1004,2.0,06,2002-09-06T18:15:00.000,RETAIL THEFT,,,THEFT,2002
1599,2.0,06,2002-04-07T12:00:00.000,FINANCIAL ID THEFT: OVER $300,,,THEFT,2002
1014,2.0,03,2002-09-09T02:55:00.000,AGGRAVATED VEHICULAR HIJACKING,,,ROBBERY,2002
1508,2.0,06,2002-11-01T12:00:00.000,FINANCIAL ID THEFT: OVER $300,41.992308381,-87.687567195,THEFT,2002
1203,2.0,08B,2002-10-25T21:30:00.000,DOMESTIC BATTERY SIMPLE,,,BATTERY,2002
537,2.0,08B,2002-04-26T03:00:00.000,SIMPLE,,,BATTERY,2002
988,2.0,06,2002-08-31T20:00:00.000,OVER $500,,,THEFT,2002
735,3.0,01A,2002-12-21T13:28:00.000,FIRST DEGREE MURDER,41.972326185,-87.65771014,HOMICIDE,2002
855,3.0,08B,2002-07-23T03:50:00.000,SIMPLE,,,BATTERY,2002
632,3.0,06,2002-04-26T19:00:00.000,OVER $500,,,THEFT,2002
1546,3.0,04A,2002-02-26T13:14:00.000,AGGRAVATED: OTHER DANG WEAPON,41.975729415,-87.654989539,ASSAULT,2002
359,3.0,07,2002-03-18T21:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1132,3.0,26,2002-10-06T10:00:00.000,OTHER VEHICLE OFFENSE,,,OTHER OFFENSE,2002
1223,3.0,06,2002-08-13T18:00:00.000,$500 AND UNDER,,,THEFT,2002
1253,3.0,26,2002-11-07T16:04:50.000,OTHER VEHICLE OFFENSE,,,OTHER OFFENSE,2002
1468,3.0,06,2002-10-01T12:00:00.000,FINANCIAL ID THEFT: OVER $300,41.960979207,-87.648498483,THEFT,2002
1539,3.0,11,2002-10-02T00:01:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2002
1062,3.0,18,2002-09-20T20:40:00.000,POSS: CANNABIS 30GMS OR LESS,,,NARCOTICS,2002
708,3.0,06,2002-06-25T01:00:00.000,$500 AND UNDER,,,THEFT,2002
1272,3.0,06,2002-11-10T21:30:00.000,OVER $500,,,THEFT,2002
918,3.0,14,2002-05-20T18:30:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
1018,3.0,18,2002-09-03T20:15:00.000,POSS: COCAINE,,,NARCOTICS,2002
1061,3.0,18,2002-09-20T20:30:00.000,POSS: HALLUCINOGENS,,,NARCOTICS,2002
1435,3.0,08B,2002-11-04T19:25:00.000,SIMPLE,,,BATTERY,2002
650,3.0,03,2002-06-08T01:47:00.000,STRONGARM - NO WEAPON,,,ROBBERY,2002
1005,3.0,06,2002-09-06T17:30:00.000,$500 AND UNDER,,,THEFT,2002
83,3.0,01A,2002-04-19T03:33:00.000,FIRST DEGREE MURDER,41.967706078,-87.661175003,HOMICIDE,2002
644,3.0,26,2002-05-26T20:40:00.000,TO VEHICLE,,,CRIMINAL TRESPASS,2002
806,3.0,06,2002-07-16T23:50:00.000,$500 AND UNDER,,,THEFT,2002
1327,3.0,07,2002-11-20T22:15:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1091,3.0,26,2002-09-28T11:25:00.000,TO VEHICLE,,,CRIMINAL TRESPASS,2002
1001,3.0,18,2002-08-31T11:30:00.000,MANU/DELIVER:CRACK,,,NARCOTICS,2002
759,4.0,16,2002-07-01T17:03:17.000,SOLICIT FOR BUSINESS,,,PROSTITUTION,2002
1145,4.0,11,2002-10-09T16:30:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2002
1147,4.0,06,2002-10-13T16:27:46.000,FROM BUILDING,,,THEFT,2002
594,4.0,18,2002-05-06T11:35:50.000,POSS: CANNABIS 30GMS OR LESS,,,NARCOTICS,2002
555,4.0,06,2002-05-01T12:00:00.000,$500 AND UNDER,,,THEFT,2002
1204,4.0,03,2002-10-28T16:00:00.000,ARMED: HANDGUN,,,ROBBERY,2002
858,4.0,07,2002-07-30T06:30:00.000,ATT: AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1131,5.0,26,2002-10-11T00:30:00.000,OTHER VEHICLE OFFENSE,,,OTHER OFFENSE,2002
1042,5.0,08B,2002-09-17T15:00:00.000,SIMPLE,,,BATTERY,2002
1040,5.0,07,2002-09-16T16:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
660,5.0,03,2002-06-09T13:30:00.000,ARMED: HANDGUN,,,ROBBERY,2002
567,5.0,07,2002-01-05T08:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1584,5.0,06,2002-07-01T09:00:00.000,FINANCIAL ID THEFT: OVER $300,,,THEFT,2002
783,5.0,08B,2002-07-09T22:00:00.000,DOMESTIC BATTERY SIMPLE,,,BATTERY,2002
1474,5.0,06,2002-10-15T09:00:00.000,FROM BUILDING,41.940739415,-87.678387959,THEFT,2002
748,5.0,04B,2002-07-04T04:15:00.000,AGGRAVATED: HANDGUN,,,BATTERY,2002
1409,6.0,07,2002-10-23T19:00:00.000,THEFT/RECOVERY: AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
589,6.0,03,2002-05-11T02:00:00.000,STRONGARM - NO WEAPON,,,ROBBERY,2002
1450,6.0,11,2002-10-15T00:00:00.000,FRAUD OR CONFIDENCE GAME,41.939902161,-87.654715152,DECEPTIVE PRACTICE,2002
1198,6.0,05,2002-10-25T08:00:00.000,FORCIBLE ENTRY,,,BURGLARY,2002
798,6.0,03,2002-07-14T22:50:00.000,STRONGARM - NO WEAPON,,,ROBBERY,2002
1465,6.0,11,2002-12-03T12:00:00.000,FRAUD OR CONFIDENCE GAME,41.93659865,-87.638288379,DECEPTIVE PRACTICE,2002
1133,6.0,06,2002-10-10T00:00:00.000,$500 AND UNDER,,,THEFT,2002
1197,6.0,05,2002-10-24T20:30:00.000,FORCIBLE ENTRY,,,BURGLARY,2002
671,6.0,06,2002-06-13T18:00:00.000,$500 AND UNDER,,,THEFT,2002
1332,6.0,05,2002-11-21T00:01:00.000,UNLAWFUL ENTRY,,,BURGLARY,2002
1069,6.0,14,2002-09-28T00:30:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
1481,6.0,06,2002-06-01T00:01:00.000,FINANCIAL ID THEFT: OVER $300,41.942249741,-87.642961249,THEFT,2002
1305,6.0,07,2002-11-15T09:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1094,6.0,11,2002-09-25T21:00:00.000,CREDIT CARD FRAUD,,,DECEPTIVE PRACTICE,2002
733,6.0,08B,2002-07-01T00:27:24.000,SIMPLE,,,BATTERY,2002
1102,6.0,14,2002-09-04T19:15:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
677,6.0,08B,2002-06-14T21:30:00.000,SIMPLE,,,BATTERY,2002
782,6.0,08B,2002-07-13T03:57:29.000,DOMESTIC BATTERY SIMPLE,,,BATTERY,2002
809,6.0,14,2002-07-18T06:00:00.000,CRIMINAL DEFACEMENT,,,CRIMINAL DAMAGE,2002
963,6.0,06,2002-08-27T16:00:00.000,OVER $500,,,THEFT,2002
532,6.0,14,2002-04-23T16:00:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
1136,6.0,06,2002-10-11T16:00:00.000,FROM BUILDING,,,THEFT,2002
1137,6.0,06,2002-10-12T08:30:00.000,$500 AND UNDER,,,THEFT,2002
763,6.0,08A,2002-07-08T00:50:00.000,SIMPLE,,,ASSAULT,2002
887,6.0,03,2002-08-09T05:05:00.000,STRONGARM - NO WEAPON,,,ROBBERY,2002
938,6.0,06,2002-08-21T08:30:00.000,OVER $500,,,THEFT,2002
633,6.0,11,2002-05-24T02:27:28.000,THEFT OF LABOR/SERVICES,,,DECEPTIVE PRACTICE,2002
1176,7.0,05,2002-09-28T14:00:00.000,UNLAWFUL ENTRY,,,BURGLARY,2002
531,7.0,07,2002-04-10T17:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
484,7.0,07,2002-05-20T13:20:20.000,ATT: AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
543,7.0,06,2002-04-29T19:00:00.000,OVER $500,,,THEFT,2002
599,7.0,06,2002-05-15T21:50:00.000,$500 AND UNDER,,,THEFT,2002
678,7.0,08B,2002-06-17T13:27:13.000,SIMPLE,,,BATTERY,2002
1035,7.0,06,2002-09-09T15:00:00.000,FROM BUILDING,,,THEFT,2002
1082,7.0,18,2002-09-25T20:25:00.000,POSS: CRACK,,,NARCOTICS,2002
54,7.0,08A,2002-11-12T13:15:00.000,SIMPLE,,,ASSAULT,2002
1370,7.0,07,2002-11-27T09:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1111,7.0,07,2002-10-05T15:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
919,7.0,06,2002-05-24T17:00:00.000,OVER $500,,,THEFT,2002
628,7.0,16,2002-05-16T07:22:11.000,SOLICIT ON PUBLIC WAY,,,PROSTITUTION,2002
1207,7.0,07,2002-10-31T02:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1384,7.0,03,2002-11-30T05:02:00.000,STRONGARM - NO WEAPON,,,ROBBERY,2002
1156,7.0,08B,2002-10-17T08:30:00.000,SIMPLE,,,BATTERY,2002
550,7.0,16,2002-04-28T03:16:37.000,SOLICIT ON PUBLIC WAY,,,PROSTITUTION,2002
1393,7.0,14,2002-12-04T18:00:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
952,7.0,06,2002-08-24T11:00:00.000,$500 AND UNDER,,,THEFT,2002
842,8.0,14,2002-07-26T20:50:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
829,8.0,06,2002-07-20T13:00:00.000,$500 AND UNDER,,,THEFT,2002
1277,8.0,10,2002-11-09T19:21:44.000,COUNTERFEIT CHECK,,,DECEPTIVE PRACTICE,2002
579,8.0,26,2002-05-10T19:30:00.000,TELEPHONE THREAT,,,OTHER OFFENSE,2002
682,8.0,03,2002-06-15T08:00:00.000,STRONGARM - NO WEAPON,,,ROBBERY,2002
704,8.0,06,2002-06-23T14:20:00.000,$500 AND UNDER,,,THEFT,2002
655,8.0,07,2002-06-08T23:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
722,8.0,06,2002-06-28T20:00:00.000,$500 AND UNDER,,,THEFT,2002
647,8.0,06,2002-06-07T00:30:00.000,OVER $500,,,THEFT,2002
731,8.0,06,2002-06-30T14:17:41.000,OVER $500,,,THEFT,2002
1055,8.0,04A,2002-09-23T16:17:21.000,AGGRAVATED: OTHER DANG WEAPON,,,ASSAULT,2002
1366,8.0,14,2002-11-27T19:30:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
742,8.0,06,2002-07-02T16:15:00.000,RETAIL THEFT,,,THEFT,2002
750,8.0,14,2002-07-05T00:20:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
768,8.0,06,2002-07-08T20:39:29.000,RETAIL THEFT,,,THEFT,2002
1269,8.0,07,2002-11-09T09:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1388,8.0,14,2002-11-27T15:00:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
608,8.0,06,2002-05-11T16:05:00.000,$500 AND UNDER,,,THEFT,2002
788,8.0,06,2002-07-14T03:45:24.000,FROM BUILDING,,,THEFT,2002
1256,8.0,07,2002-11-08T00:01:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1243,8.0,06,2002-10-31T14:20:00.000,RETAIL THEFT,,,THEFT,2002
1399,8.0,14,2002-12-18T18:00:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
1239,8.0,11,2002-08-18T22:00:00.000,CREDIT CARD FRAUD,,,DECEPTIVE PRACTICE,2002
1411,8.0,16,2002-10-27T00:05:00.000,SOLICIT ON PUBLIC WAY,,,PROSTITUTION,2002
1231,8.0,08B,2002-08-18T00:50:00.000,DOMESTIC BATTERY SIMPLE,,,BATTERY,2002
826,8.0,05,2002-07-20T14:15:00.000,FORCIBLE ENTRY,,,BURGLARY,2002
1210,8.0,06,2002-08-11T17:15:00.000,RETAIL THEFT,,,THEFT,2002
4980,8.0,07,2002-01-05T11:20:00.000,AUTOMOBILE,41.907443531,-87.650095917,MOTOR VEHICLE THEFT,2002
1187,8.0,08B,2002-10-23T02:11:52.000,SIMPLE,,,BATTERY,2002
1070,8.0,06,2002-09-28T11:30:00.000,OVER $500,,,THEFT,2002
1128,8.0,06,2002-10-08T02:00:00.000,FROM BUILDING,,,THEFT,2002
980,8.0,06,2002-08-25T19:41:00.000,RETAIL THEFT,,,THEFT,2002
903,8.0,14,2002-05-26T20:53:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
890,8.0,14,2002-08-08T18:02:00.000,TO PROPERTY,,,CRIMINAL DAMAGE,2002
7,8.0,11,2002-05-07T00:01:00.000,CREDIT CARD FRAUD,41.902187338,-87.629933817,DECEPTIVE PRACTICE,2002
920,8.0,08B,2002-05-29T22:30:00.000,SIMPLE,,,BATTERY,2002
917,8.0,18,2002-05-28T03:31:51.000,POSS: CRACK,,,NARCOTICS,2002
906,8.0,06,2002-05-28T10:30:00.000,$500 AND UNDER,,,THEFT,2002
900,8.0,04B,2002-08-10T00:38:14.000,AGGRAVATED: OTHER DANG WEAPON,,,BATTERY,2002
1157,8.0,03,2002-10-11T01:25:00.000,STRONGARM - NO WEAPON,,,ROBBERY,2002
1106,8.0,06,2002-10-04T20:10:00.000,$500 AND UNDER,,,THEFT,2002
882,8.0,06,2002-08-03T12:00:00.000,FROM BUILDING,,,THEFT,2002
991,8.0,06,2002-08-30T18:30:00.000,$500 AND UNDER,,,THEFT,2002
876,8.0,14,2002-08-05T15:30:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
1057,8.0,06,2002-09-26T02:25:12.000,OVER $500,,,THEFT,2002
1100,8.0,06,2002-10-03T14:35:33.000,OVER $500,,,THEFT,2002
14,8.0,06,2002-05-19T18:30:00.000,OVER $500,41.892507682,-87.626238686,THEFT,2002
1,8.0,05,2002-05-29T05:35:59.000,ATTEMPT FORCIBLE ENTRY,41.900399103,-87.628307827,BURGLARY,2002
39,8.0,11,2002-04-14T16:55:00.000,ILLEGAL POSSESSION CASH CARD,41.891990384,-87.611461502,DECEPTIVE PRACTICE,2002
36,8.0,06,2002-05-24T16:00:00.000,$500 AND UNDER,41.888057631,-87.629545308,THEFT,2002
1079,8.0,06,2002-09-29T01:40:00.000,FROM BUILDING,,,THEFT,2002
695,9.0,04A,2002-06-23T19:50:00.000,AGGRAVATED:KNIFE/CUTTING INSTR,,,ASSAULT,2002
584,10.0,06,2002-05-11T16:09:24.000,$500 AND UNDER,,,THEFT,2002
1415,10.0,14,2002-11-01T08:00:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
1031,10.0,08B,2002-09-13T23:00:00.000,SIMPLE,,,BATTERY,2002
46,10.0,08B,2002-06-29T16:54:00.000,SIMPLE,41.985656459,-87.831398891,BATTERY,2002
1043,10.0,05,2002-09-19T02:30:33.000,FORCIBLE ENTRY,,,BURGLARY,2002
1536,10.0,10,2002-08-12T12:00:00.000,FORGERY,41.996006062,-87.786605964,DECEPTIVE PRACTICE,2002
621,11.0,18,2002-05-15T19:05:00.000,ATTEMPT POSSESSION NARCOTICS,,,NARCOTICS,2002
290,12.0,01A,2002-09-04T22:52:00.000,FIRST DEGREE MURDER,41.968930428,-87.748473361,HOMICIDE,2002
1159,13.0,07,2002-10-18T21:20:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1292,13.0,07,2002-11-16T19:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1318,13.0,05,2002-11-18T05:20:00.000,FORCIBLE ENTRY,,,BURGLARY,2002
1320,13.0,07,2002-11-19T00:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1201,13.0,07,2002-10-27T14:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1237,13.0,18,2002-08-09T23:22:00.000,POSS: COCAINE,,,NARCOTICS,2002
685,13.0,18,2002-06-10T09:59:49.000,POSS: CRACK,,,NARCOTICS,2002
1352,14.0,04B,2002-11-22T14:20:00.000,AGGRAVATED:KNIFE/CUTTING INSTR,,,BATTERY,2002
38,14.0,08B,2002-02-14T08:30:00.000,SIMPLE,41.967036336,-87.713323052,BATTERY,2002
1188,14.0,06,2002-10-23T07:30:00.000,OVER $500,,,THEFT,2002
1581,14.0,06,2002-03-12T00:00:00.000,FINANCIAL ID THEFT: OVER $300,,,THEFT,2002
1230,14.0,26,2002-08-17T21:15:00.000,TO VEHICLE,,,CRIMINAL TRESPASS,2002
1486,14.0,16,2002-09-01T12:00:00.000,PIMPING,41.970265247,-87.745471529,PROSTITUTION,2002
1135,14.0,07,2002-10-03T21:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1274,14.0,06,2002-11-10T08:30:00.000,$500 AND UNDER,,,THEFT,2002
1164,14.0,06,2002-10-19T13:00:00.000,FROM BUILDING,,,THEFT,2002
1312,14.0,07,2002-11-17T03:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1501,14.0,06,2002-03-14T09:00:00.000,FINANCIAL ID THEFT: OVER $300,41.96351654,-87.711989379,THEFT,2002
383,14.0,07,2002-03-22T09:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
778,15.0,06,2002-06-14T12:00:00.000,FINANCIAL ID THEFT:$300 &UNDER,,,THEFT,2002
1506,15.0,06,2002-04-02T00:01:00.000,FINANCIAL ID THEFT: OVER $300,41.960343613,-87.777719165,THEFT,2002
1439,15.0,07,2002-11-04T18:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1097,15.0,08B,2002-10-02T15:00:00.000,DOMESTIC BATTERY SIMPLE,,,BATTERY,2002
1255,15.0,07,2002-11-06T17:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1422,15.0,07,2002-11-02T18:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
886,15.0,06,2002-06-22T15:43:00.000,OVER $500,,,THEFT,2002
1362,15.0,07,2002-11-25T19:55:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1118,15.0,06,2002-10-09T06:30:00.000,OVER $500,,,THEFT,2002
1241,15.0,07,2002-11-03T23:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
69,15.0,01A,2002-02-09T19:16:00.000,FIRST DEGREE MURDER,41.954356038,-87.752279309,HOMICIDE,2002
1687,15.0,07,2002-01-01T15:30:00.000,AUTOMOBILE,41.953527533,-87.775568905,MOTOR VEHICLE THEFT,2002
1122,15.0,07,2002-10-07T00:01:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
3144,15.0,07,2002-01-04T01:00:00.000,AUTOMOBILE,41.963352217,-87.761150766,MOTOR VEHICLE THEFT,2002
612,15.0,06,2002-05-18T17:20:00.000,$500 AND UNDER,,,THEFT,2002
955,15.0,07,2002-08-20T21:00:00.000,"TRUCK, BUS, MOTOR HOME",,,MOTOR VEHICLE THEFT,2002
942,15.0,03,2002-08-21T09:15:00.000,STRONGARM - NO WEAPON,,,ROBBERY,2002
1525,15.0,06,2002-08-01T09:00:00.000,FINANCIAL ID THEFT: OVER $300,,,THEFT,2002
949,15.0,11,2002-08-24T03:43:00.000,THEFT OF LABOR/SERVICES,,,DECEPTIVE PRACTICE,2002
611,15.0,26,2002-05-17T10:00:00.000,OTHER VEHICLE OFFENSE,,,OTHER OFFENSE,2002
1208,15.0,07,2002-10-30T17:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
753,16.0,07,2002-07-05T21:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
710,16.0,07,2002-06-26T09:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1438,16.0,10,2002-09-26T16:00:00.000,FORGERY,,,DECEPTIVE PRACTICE,2002
1520,16.0,06,2002-11-15T00:00:00.000,FINANCIAL ID THEFT:$300 &UNDER,41.954462142,-87.729238584,THEFT,2002
1022,16.0,07,2002-09-12T06:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
270,16.0,07,2002-02-17T21:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1183,16.0,07,2002-10-15T00:01:00.000,"TRUCK, BUS, MOTOR HOME",,,MOTOR VEHICLE THEFT,2002
1140,16.0,26,2002-10-14T12:30:00.000,OTHER VEHICLE OFFENSE,,,OTHER OFFENSE,2002
665,16.0,17,2002-06-11T08:30:00.000,PUBLIC INDECENCY,,,SEX OFFENSE,2002
1134,16.0,07,2002-09-30T18:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
833,16.0,14,2002-07-23T20:00:00.000,TO PROPERTY,,,CRIMINAL DAMAGE,2002
291,16.0,01A,2002-09-07T18:16:00.000,FIRST DEGREE MURDER,41.954827095,-87.711753943,HOMICIDE,2002
3629,17.0,07,2002-01-05T07:30:00.000,AUTOMOBILE,41.950217405,-87.785129945,MOTOR VEHICLE THEFT,2002
559,17.0,14,2002-05-03T15:30:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
1603,17.0,06,2002-09-13T11:00:00.000,FINANCIAL ID THEFT: OVER $300,,,THEFT,2002
864,17.0,08B,2002-07-30T02:00:00.000,SIMPLE,,,BATTERY,2002
831,17.0,06,2002-07-18T12:00:00.000,$500 AND UNDER,,,THEFT,2002
1371,17.0,07,2002-11-25T20:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1493,17.0,06,2002-08-22T09:00:00.000,FINANCIAL ID THEFT: OVER $300,41.944573484,-87.789945805,THEFT,2002
810,17.0,17,2002-07-18T08:55:00.000,OBSCENE TELEPHONE CALLS,,,OTHER OFFENSE,2002
1160,17.0,07,2002-10-18T22:10:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
623,17.0,18,2002-05-17T12:43:08.000,POSS: CANNABIS 30GMS OR LESS,,,NARCOTICS,2002
1143,18.0,14,2002-10-09T05:30:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
21,18.0,14,2002-05-25T21:05:00.000,TO PROPERTY,41.93552235,-87.803896818,CRIMINAL DAMAGE,2002
641,18.0,14,2002-05-25T15:00:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2002
676,18.0,06,2002-06-17T22:00:00.000,$500 AND UNDER,,,THEFT,2002
1125,19.0,07,2002-10-10T21:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1141,19.0,07,2002-10-12T22:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
718,19.0,16,2002-06-24T14:00:00.000,SOLICIT ON PUBLIC WAY,,,PROSTITUTION,2002
933,19.0,06,2002-08-22T17:15:00.000,RETAIL THEFT,,,THEFT,2002
1155,19.0,07,2002-10-14T21:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
985,19.0,07,2002-07-13T21:00:00.000,"TRUCK, BUS, MOTOR HOME",,,MOTOR VEHICLE THEFT,2002
1251,19.0,07,2002-11-07T15:30:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
812,19.0,18,2002-07-15T15:40:00.000,POSS: CANNABIS 30GMS OR LESS,,,NARCOTICS,2002
1074,19.0,05,2002-09-28T09:41:49.000,FORCIBLE ENTRY,,,BURGLARY,2002
815,19.0,06,2002-07-14T17:27:15.000,$500 AND UNDER,,,THEFT,2002
1012,19.0,07,2002-09-07T22:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
754,19.0,06,2002-07-05T11:10:44.000,RETAIL THEFT,,,THEFT,2002
1300,19.0,07,2002-11-15T19:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
