,community_area,fbi_code,date,description,latitude,longitude,primary_type,year
84,66,08A,2018-12-10T12:00:00.000,TELEPHONE THREAT,,,OTHER OFFENSE,2018
85,25,08A,2018-07-21T00:01:00.000,TELEPHONE THREAT,,,OTHER OFFENSE,2018
86,73,11,2018-03-01T08:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
87,74,11,2018-06-25T08:00:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2018
88,40,06,2018-06-01T07:00:00.000,OVER $500,,,THEFT,2018
89,34,26,2018-11-28T09:00:00.000,HARASSMENT BY ELECTRONIC MEANS,,,OTHER OFFENSE,2018
90,63,11,2018-03-23T08:00:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2018
91,51,11,2018-10-11T23:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
92,8,06,2018-11-10T00:30:00.000,FROM BUILDING,,,THEFT,2018
93,67,02,2018-10-22T20:00:00.000,NON-AGGRAVATED,,,CRIM SEXUAL ASSAULT,2018
94,64,07,2018-12-19T09:00:00.000,AUTOMOBILE,41.774856633,-87.78690077,MOTOR VEHICLE THEFT,2018
95,26,04B,2018-12-15T17:10:00.000,AGGRAVATED: HANDGUN,41.879774973,-87.724529902,BATTERY,2018
96,56,04B,2018-12-10T09:17:00.000,AGG: HANDS/FIST/FEET SERIOUS INJURY,41.79054357,-87.780130326,BATTERY,2018
97,32,06,2018-07-12T06:33:00.000,OVER $500,41.881624191,-87.629391908,THEFT,2018
98,8,24,2018-12-03T08:45:00.000,OTHER VIOLATION,41.895529663,-87.638924852,PUBLIC PEACE VIOLATION,2018
99,24,05,2018-11-01T22:00:00.000,UNLAWFUL ENTRY,41.899324159,-87.692604172,BURGLARY,2018
100,24,17,2018-11-24T21:00:00.000,AGG CRIM SEX ABUSE FAM MEMBER,41.906593937,-87.69512138,OFFENSE INVOLVING CHILDREN,2018
101,27,05,2018-10-27T22:55:00.000,FORCIBLE ENTRY,41.885155992,-87.711133375,BURGLARY,2018
102,23,08A,2018-10-15T21:30:00.000,TELEPHONE THREAT,41.895470438,-87.715492263,OTHER OFFENSE,2018
103,6,11,2018-09-10T15:00:00.000,CREDIT CARD FRAUD,41.937722337,-87.640319696,DECEPTIVE PRACTICE,2018
104,40,07,2018-08-31T22:30:00.000,AUTOMOBILE,41.791136962,-87.618182705,MOTOR VEHICLE THEFT,2018
105,67,05,2018-09-01T03:00:00.000,FORCIBLE ENTRY,41.769526997,-87.663944366,BURGLARY,2018
106,54,02,2018-08-22T12:03:00.000,AGG SEX ASSLT OF CHILD FAM MBR,41.656937576,-87.605134262,OFFENSE INVOLVING CHILDREN,2018
107,67,17,2018-08-17T09:00:00.000,AGG CRIM SEX ABUSE FAM MEMBER,41.761211971,-87.669180544,OFFENSE INVOLVING CHILDREN,2018
108,7,06,2018-08-16T22:00:00.000,OVER $500,41.914434094,-87.654430232,THEFT,2018
109,8,06,2018-08-13T20:30:00.000,RETAIL THEFT,41.910886107,-87.650316375,THEFT,2018
110,68,02,2018-06-30T18:00:00.000,PREDATORY,41.765160516,-87.647146658,CRIM SEXUAL ASSAULT,2018
111,33,02,2018-05-18T00:00:00.000,SEX ASSLT OF CHILD BY FAM MBR,41.85635485,-87.619119418,OFFENSE INVOLVING CHILDREN,2018
112,55,02,2018-05-08T01:20:00.000,AGG SEX ASSLT OF CHILD FAM MBR,41.651338508,-87.544735037,OFFENSE INVOLVING CHILDREN,2018
113,67,04B,2018-04-24T17:00:00.000,AGG: HANDS/FIST/FEET SERIOUS INJURY,41.771691803,-87.667646414,BATTERY,2018
114,61,02,2018-02-10T17:52:00.000,PREDATORY,41.811519008,-87.669908302,CRIM SEXUAL ASSAULT,2018
115,15,02,2018-01-31T19:00:00.000,AGG SEX ASSLT OF CHILD FAM MBR,41.94063601,-87.748165955,OFFENSE INVOLVING CHILDREN,2018
116,66,17,2018-01-24T21:00:00.000,AGG CRIM SEX ABUSE FAM MEMBER,41.778953847,-87.704285796,OFFENSE INVOLVING CHILDREN,2018
117,6,02,2018-01-08T21:11:00.000,AGG SEX ASSLT OF CHILD FAM MBR,41.935156334,-87.639384562,OFFENSE INVOLVING CHILDREN,2018
118,53,11,2018-07-02T12:00:00.000,ATTEMPT - FINANCIAL IDENTITY THEFT,,,DECEPTIVE PRACTICE,2018
119,20,26,2018-11-01T09:00:00.000,HARASSMENT BY ELECTRONIC MEANS,,,OTHER OFFENSE,2018
120,6,11,2018-11-10T12:00:00.000,CREDIT CARD FRAUD,,,DECEPTIVE PRACTICE,2018
121,16,11,2018-11-02T16:00:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2018
122,23,11,2018-10-01T09:15:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
123,38,11,2018-05-23T09:17:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
124,6,11,2018-07-01T18:45:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
125,24,06,2018-12-20T15:30:00.000,$500 AND UNDER,,,THEFT,2018
126,14,06,2018-11-01T12:00:00.000,FROM BUILDING,,,THEFT,2018
127,22,14,2018-11-02T00:01:00.000,TO PROPERTY,,,CRIMINAL DAMAGE,2018
128,73,11,2018-10-24T00:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
129,25,11,2018-09-01T00:01:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
130,23,06,2018-09-20T16:00:00.000,$500 AND UNDER,,,THEFT,2018
131,15,05,2018-09-01T12:00:00.000,FORCIBLE ENTRY,,,BURGLARY,2018
132,43,26,2018-11-03T06:00:00.000,VIOLATE ORDER OF PROTECTION,,,OTHER OFFENSE,2018
133,49,17,2018-02-01T00:00:00.000,AGG CRIMINAL SEXUAL ABUSE,,,SEX OFFENSE,2018
134,30,02,2018-12-16T19:00:00.000,AGG SEX ASSLT OF CHILD FAM MBR,41.968013038,-87.818796103,OFFENSE INVOLVING CHILDREN,2018
135,6,11,2018-11-26T00:01:00.000,ILLEGAL USE CASH CARD,,,DECEPTIVE PRACTICE,2018
136,19,01A,2018-05-14T19:20:00.000,FIRST DEGREE MURDER,41.927243123,-87.744734834,HOMICIDE,2018
137,6,05,2018-11-28T12:00:00.000,FORCIBLE ENTRY,,,BURGLARY,2018
138,6,05,2018-12-17T08:00:00.000,UNLAWFUL ENTRY,41.950173229,-87.645404919,BURGLARY,2018
139,70,06,2018-09-10T14:40:00.000,ATTEMPT THEFT,41.751375919,-87.681558841,THEFT,2018
140,6,06,2018-09-02T22:34:00.000,OVER $500,41.94044868,-87.651081589,THEFT,2018
141,71,04B,2018-06-26T14:00:00.000,AGGRAVATED: HANDGUN,41.749737947,-87.665850391,BATTERY,2018
142,8,08A,2018-05-08T14:00:00.000,SIMPLE,41.898510953,-87.641827395,ASSAULT,2018
143,70,06,2018-12-01T00:01:00.000,OVER $500,,,THEFT,2018
144,19,06,2018-11-18T19:00:00.000,$500 AND UNDER,,,THEFT,2018
145,29,18,2018-10-10T10:30:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
146,29,11,2018-06-23T14:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
147,29,18,2018-10-10T11:00:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
148,10,06,2018-12-30T16:00:00.000,$500 AND UNDER,,,THEFT,2018
149,16,06,2018-01-01T00:00:00.000,FROM BUILDING,,,THEFT,2018
150,29,18,2018-10-10T11:25:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
151,19,11,2018-08-14T09:00:00.000,THEFT OF LABOR/SERVICES,,,DECEPTIVE PRACTICE,2018
152,25,11,2018-11-01T00:01:00.000,INSURANCE FRAUD,,,DECEPTIVE PRACTICE,2018
153,28,06,2018-09-24T00:00:00.000,$500 AND UNDER,,,THEFT,2018
154,3,18,2018-05-24T06:00:00.000,CRIMINAL DRUG CONSPIRACY,,,NARCOTICS,2018
155,76,18,2018-10-10T10:00:00.000,POSS: CANNABIS MORE THAN 30GMS,,,NARCOTICS,2018
156,40,10,2018-11-13T12:32:00.000,FORGERY,,,DECEPTIVE PRACTICE,2018
157,27,18,2018-07-01T11:59:00.000,MANU/DELIVER:CRACK,,,NARCOTICS,2018
158,77,11,2018-05-01T00:01:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
159,35,11,2018-11-26T01:00:00.000,CREDIT CARD FRAUD,,,DECEPTIVE PRACTICE,2018
160,5,08B,2018-12-09T15:11:00.000,DOMESTIC BATTERY SIMPLE,41.949077783,-87.683471135,BATTERY,2018
161,22,17,2018-11-24T00:01:00.000,AGG CRIM SEX ABUSE FAM MEMBER,41.914060549,-87.713068164,OFFENSE INVOLVING CHILDREN,2018
162,57,07,2018-11-24T16:30:00.000,"TRUCK, BUS, MOTOR HOME",41.797983238,-87.733097887,MOTOR VEHICLE THEFT,2018
163,15,05,2018-10-31T17:40:00.000,FORCIBLE ENTRY,41.964122201,-87.768122669,BURGLARY,2018
164,10,05,2018-09-25T17:03:00.000,FORCIBLE ENTRY,41.978246644,-87.791458042,BURGLARY,2018
165,10,05,2018-09-24T10:50:00.000,FORCIBLE ENTRY,41.974292841,-87.792749265,BURGLARY,2018
166,53,02,2018-09-05T09:27:00.000,AGGRAVATED: OTHER,41.669662759,-87.639231114,CRIM SEXUAL ASSAULT,2018
167,66,04B,2018-07-06T22:05:00.000,AGGRAVATED OF A CHILD,41.783754547,-87.693521432,BATTERY,2018
168,66,08B,2018-07-06T22:05:00.000,AGG PO HANDS NO/MIN INJURY,41.783754547,-87.693521432,BATTERY,2018
169,16,03,2018-04-17T11:33:00.000,ARMED: HANDGUN,41.952956098,-87.712871328,ROBBERY,2018
170,69,02,2018-03-23T04:30:00.000,NON-AGGRAVATED,41.756115887,-87.605326291,CRIM SEXUAL ASSAULT,2018
171,71,02,2018-02-13T17:20:00.000,NON-AGGRAVATED,41.749407415,-87.667059479,CRIM SEXUAL ASSAULT,2018
172,56,14,2018-12-29T12:00:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2018
173,53,06,2018-11-30T07:30:00.000,OVER $500,,,THEFT,2018
174,29,11,2018-07-25T08:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
175,63,11,2018-01-29T09:00:00.000,CREDIT CARD FRAUD,,,DECEPTIVE PRACTICE,2018
176,17,05,2018-10-23T13:50:00.000,FORCIBLE ENTRY,41.94529551,-87.805301006,BURGLARY,2018
177,15,05,2018-09-28T16:30:00.000,UNLAWFUL ENTRY,41.944929003,-87.769766227,BURGLARY,2018
178,17,05,2018-09-27T02:04:00.000,FORCIBLE ENTRY,41.938411985,-87.818982671,BURGLARY,2018
179,15,05,2018-09-19T17:00:00.000,UNLAWFUL ENTRY,41.943073138,-87.772410703,BURGLARY,2018
180,63,04B,2018-03-06T00:38:00.000,AGGRAVATED PO: OTHER DANG WEAP,41.789655791,-87.683921414,BATTERY,2018
181,5,11,2018-11-01T00:01:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
182,67,11,2018-09-20T10:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
183,14,11,2018-11-12T10:00:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,DECEPTIVE PRACTICE,2018
184,41,26,2018-12-20T18:00:00.000,HARASSMENT BY ELECTRONIC MEANS,,,OTHER OFFENSE,2018
185,75,17,2018-01-01T00:01:00.000,CRIM SEX ABUSE BY FAM MEMBER,,,OFFENSE INVOLVING CHILDREN,2018
186,46,08B,2018-12-16T04:31:00.000,AGG PO HANDS NO/MIN INJURY,41.751184368,-87.573535549,BATTERY,2018
187,8,02,2018-09-08T20:30:00.000,AGGRAVATED: HANDGUN,41.894821547,-87.632133928,CRIM SEXUAL ASSAULT,2018
188,69,04B,2018-06-11T17:30:00.000,AGGRAVATED: HANDGUN,41.752114055,-87.605224922,BATTERY,2018
189,32,02,2018-04-15T06:25:00.000,NON-AGGRAVATED,41.880735492,-87.628568091,CRIM SEXUAL ASSAULT,2018
190,25,04B,2018-03-28T12:20:00.000,AGGRAVATED: HANDGUN,41.904869639,-87.769391307,BATTERY,2018
191,42,06,2018-11-16T09:00:00.000,OVER $500,,,THEFT,2018
192,23,02,2018-09-01T08:00:00.000,AGG SEX ASSLT OF CHILD FAM MBR,,,OFFENSE INVOLVING CHILDREN,2018
193,68,11,2018-10-31T12:00:00.000,ILLEGAL USE CASH CARD,,,DECEPTIVE PRACTICE,2018
194,24,11,2018-03-26T10:00:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,DECEPTIVE PRACTICE,2018
195,34,07,2018-12-14T14:00:00.000,AUTOMOBILE,,,MOTOR VEHICLE THEFT,2018
196,24,11,2018-03-28T14:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
197,30,02,2018-09-01T03:00:00.000,NON-AGGRAVATED,,,CRIM SEXUAL ASSAULT,2018
198,74,26,2018-12-20T09:00:00.000,HARASSMENT BY ELECTRONIC MEANS,,,OTHER OFFENSE,2018
199,53,11,2018-02-02T00:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
200,21,11,2018-07-18T00:01:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
201,2,26,2018-11-02T16:47:00.000,HARASSMENT BY TELEPHONE,,,OTHER OFFENSE,2018
202,6,06,2018-12-01T06:00:00.000,OVER $500,,,THEFT,2018
203,32,11,2018-12-16T00:00:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2018
204,61,01A,2018-07-28T00:29:00.000,FIRST DEGREE MURDER,41.79696469,-87.665877661,HOMICIDE,2018
205,25,03,2018-10-03T23:35:00.000,ARMED:KNIFE/CUTTING INSTRUMENT,41.865894511,-87.745059256,ROBBERY,2018
206,29,18,2018-07-31T18:28:00.000,POSS: HALLUCINOGENS,,,NARCOTICS,2018
207,29,18,2018-08-08T08:58:00.000,FORFEIT PROPERTY,,,NARCOTICS,2018
208,67,18,2018-08-09T13:02:53.000,POSS: CRACK,,,NARCOTICS,2018
209,27,18,2018-08-01T11:21:00.000,POSS: HEROIN(WHITE),,,NARCOTICS,2018
210,28,18,2018-07-16T14:15:00.000,FORFEIT PROPERTY,,,NARCOTICS,2018
211,28,18,2018-07-16T13:40:00.000,FORFEIT PROPERTY,,,NARCOTICS,2018
212,56,18,2018-07-23T17:20:00.000,FORFEIT PROPERTY,,,NARCOTICS,2018
213,28,18,2018-07-30T14:45:00.000,FORFEIT PROPERTY,,,NARCOTICS,2018
214,29,18,2018-08-27T11:15:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
215,29,18,2018-08-27T10:30:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
216,29,18,2018-09-02T08:15:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
217,29,18,2018-09-02T08:50:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
218,53,18,2018-07-13T14:46:00.000,MANU/DELIVER: HEROIN (WHITE),,,NARCOTICS,2018
219,49,08A,2018-08-22T10:22:00.000,SIMPLE,41.710279369,-87.618713388,ASSAULT,2018
220,13,02,2018-01-01T00:00:00.000,PREDATORY,41.983849798,-87.713781542,CRIM SEXUAL ASSAULT,2018
221,25,02,2018-06-17T23:00:00.000,NON-AGGRAVATED,41.895403138,-87.769063221,CRIM SEXUAL ASSAULT,2018
222,32,06,2018-03-20T14:29:00.000,RETAIL THEFT,41.867346388,-87.632166244,THEFT,2018
223,73,06,2018-10-06T21:15:00.000,$500 AND UNDER,,,THEFT,2018
224,1,08A,2018-12-12T13:00:00.000,TELEPHONE THREAT,,,OTHER OFFENSE,2018
225,22,17,2018-09-29T10:42:00.000,CHILD PORNOGRAPHY,,,OFFENSE INVOLVING CHILDREN,2018
226,22,11,2018-11-01T08:00:00.000,CREDIT CARD FRAUD,,,DECEPTIVE PRACTICE,2018
227,24,05,2018-12-01T09:00:00.000,UNLAWFUL ENTRY,41.892768506,-87.668050801,BURGLARY,2018
228,43,08B,2018-12-09T17:30:00.000,CHILD ABUSE,41.756457493,-87.552853934,OFFENSE INVOLVING CHILDREN,2018
229,25,17,2018-10-23T00:01:00.000,AGG CRIM SEX ABUSE FAM MEMBER,41.884865037,-87.755230327,OFFENSE INVOLVING CHILDREN,2018
230,31,04B,2018-09-30T07:50:00.000,AGGRAVATED: OTHER DANG WEAPON,41.857824459,-87.664477992,BATTERY,2018
231,66,02,2018-07-04T03:08:00.000,NON-AGGRAVATED,41.778434068,-87.68483756,CRIM SEXUAL ASSAULT,2018
232,43,08B,2018-03-05T08:00:00.000,CHILD ABUSE,41.763628928,-87.561472426,OFFENSE INVOLVING CHILDREN,2018
233,25,06,2018-02-24T12:25:00.000,$500 AND UNDER,41.909512571,-87.754982277,THEFT,2018
234,24,11,2018-03-08T10:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
235,77,11,2018-12-31T09:00:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2018
236,44,11,2018-12-24T00:00:00.000,FINAN EXPLOIT-ELDERLY/DISABLED,,,DECEPTIVE PRACTICE,2018
237,58,17,2018-09-04T08:00:00.000,CHILD PORNOGRAPHY,,,OFFENSE INVOLVING CHILDREN,2018
238,32,10,2018-12-28T21:30:00.000,FORGERY,,,DECEPTIVE PRACTICE,2018
239,44,11,2018-10-16T00:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
